City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Precent Cloudiness,Wind Speed,Current Description
556,Vallenar,CL,-28.5708,-70.7581,84.96,30,0,11.32,clear sky
557,Rawson,AR,-43.3002,-65.1023,71.98,51,100,8.99,overcast clouds
558,Port Moresby,PG,-9.4431,147.1797,76.84,88,68,6.02,broken clouds
559,Dankaur,IN,28.35,77.55,57.51,93,0,3.47,clear sky
560,Maple Creek,CA,49.9168,-109.4848,41.41,56,67,11.5,broken clouds
561,Port Blair,IN,11.6667,92.75,77.61,77,45,9.71,scattered clouds
562,Portales,US,34.1862,-103.3344,54.28,28,0,12.55,clear sky
563,Cap Malheureux,MU,-19.9842,57.6142,77.49,76,35,11.77,scattered clouds
564,Balkanabat,TM,39.5108,54.3671,54.16,30,2,9.4,clear sky
565,Maragogi,BR,-9.0122,-35.2225,84.16,63,35,12.28,scattered clouds
566,Sangar,RU,63.9242,127.4739,-31.88,99,100,2.55,overcast clouds
567,Zhigansk,RU,66.7697,123.3711,-34.04,98,100,7.11,overcast clouds
568,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.99,56,0,12.66,clear sky
569,Taoudenni,ML,22.6783,-3.9836,76.33,11,0,10.92,clear sky
570,Yulara,AU,-25.2406,130.9889,77.23,39,0,11.7,clear sky
571,Nagato,JP,34.3833,131.2,41.2,73,100,2.8,overcast clouds
572,Chaiyaphum,TH,15.75,102.0,82.06,52,46,1.25,scattered clouds
573,Reconquista,AR,-29.15,-59.65,95.4,15,0,2.95,clear sky
574,Paseh,ID,-7.1026,107.7641,71.47,95,100,3.67,overcast clouds
575,Yuxia,CN,34.0615,108.6291,36.46,63,26,1.66,scattered clouds
576,Sanghar,PK,26.0466,68.9481,62.67,17,0,5.41,clear sky
577,Puerto Lumbreras,ES,37.5633,-1.8097,53.98,76,6,4.41,clear sky
578,Chulman,RU,56.8479,124.9104,-36.38,100,100,0.74,overcast clouds
579,Matamoros,MX,25.5333,-103.25,58.1,29,0,0.0,clear sky
580,Karratha,AU,-20.7377,116.8463,85.28,65,53,4.41,broken clouds
581,Big Spring,US,32.2504,-101.4787,61.29,22,0,4.0,clear sky
582,Tungawan,PH,7.5081,122.3711,77.65,86,100,3.24,overcast clouds
583,Nakusp,CA,50.2499,-117.8023,36.48,100,96,0.0,overcast clouds
584,Dayong,CN,25.0209,118.2898,55.38,90,68,1.88,broken clouds
585,Vanavara,RU,60.34,102.2797,-26.55,100,37,2.08,scattered clouds
586,Bandarbeyla,SO,9.4942,50.8122,75.38,66,29,19.24,scattered clouds
587,Lagoa,PT,39.05,-27.9833,58.64,73,6,13.78,clear sky
588,Ambon,ID,-3.6954,128.1814,75.34,94,40,5.75,scattered clouds
589,Harper,LR,4.375,-7.7169,81.72,77,88,7.96,overcast clouds
590,Innisfail,AU,-17.5333,146.0333,71.47,85,6,4.03,clear sky
591,Formosa,AR,-26.1775,-58.1781,94.98,24,0,5.75,clear sky
592,Pitimbu,BR,-7.4706,-34.8086,86.59,64,86,11.01,overcast clouds
593,Kondinskoye,RU,59.6481,67.41,3.15,96,68,8.48,broken clouds
594,Changli,CN,39.7042,119.1506,31.05,60,9,3.31,clear sky
595,Makakilo City,US,21.3469,-158.0858,73.29,78,0,5.75,clear sky
596,Ostrovnoy,RU,68.0531,39.5131,25.14,85,100,24.36,overcast clouds
597,Havre,FR,49.5833,0.3333,46.17,87,100,3.44,overcast clouds
598,Daura,NG,11.5538,11.4085,76.6,9,13,11.25,few clouds
599,Zarubino,RU,42.63,131.0922,24.8,82,15,5.03,few clouds
600,Osmena,PH,10.5208,119.9258,80.01,78,74,17.92,broken clouds
601,Puro,PH,12.4841,123.3827,76.05,85,39,9.31,scattered clouds
602,Eyl,SO,7.9803,49.8164,74.77,69,7,19.28,clear sky
603,Temnikov,RU,54.6302,43.2148,18.54,97,100,2.21,overcast clouds
604,Voh,NC,-20.9667,164.7,79.03,93,100,14.97,overcast clouds
605,Borogontsy,RU,62.6683,131.1683,-35.27,100,97,2.64,overcast clouds
606,Murgab,TM,37.4966,61.9714,44.47,81,3,4.61,clear sky
607,Hay River,CA,60.8156,-115.7999,-4.02,77,100,9.22,light snow
608,Limbang,MY,4.75,115.0,80.91,97,99,1.81,overcast clouds
609,Aripuana,BR,-9.1667,-60.6333,82.24,78,100,3.67,overcast clouds
610,Shimoda,JP,34.6667,138.95,40.1,93,100,17.07,heavy intensity rain
611,Boralday,KZ,43.3578,76.8594,30.06,93,75,2.24,broken clouds
612,Dobsina,SK,48.8207,20.3699,40.15,97,81,2.17,broken clouds
613,Aklavik,CA,68.2191,-135.0107,-22.97,69,100,10.36,light snow
614,Atambua,ID,-9.1061,124.8925,74.88,89,100,0.43,overcast clouds
615,Djibo,BF,14.1022,-1.6306,84.74,9,0,9.93,clear sky
616,Thinadhoo,MV,0.5333,72.9333,82.45,73,60,12.35,broken clouds
617,Montevideo,UY,-34.8335,-56.1674,77.02,69,40,10.36,scattered clouds
618,Dongsheng,CN,39.8161,109.9776,19.78,58,0,11.1,clear sky
619,Butterworth,MY,5.3991,100.3638,80.64,96,20,3.44,few clouds
620,Penzance,GB,50.1186,-5.5371,49.21,90,89,10.83,overcast clouds
621,Bambanglipuro,ID,-7.95,110.2833,77.81,87,100,10.11,heavy intensity rain
622,Lavrentiya,RU,65.5833,-171.0,-23.91,92,60,7.94,broken clouds
