City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Port Blair,IN,77.61,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
563,Cap Malheureux,MU,77.49,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
565,Maragogi,BR,84.16,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
569,Taoudenni,ML,76.33,clear sky,22.6783,-3.9836,
570,Yulara,AU,77.23,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
572,Chaiyaphum,TH,82.06,scattered clouds,15.75,102.0,BBM Hotel
574,Paseh,ID,71.47,overcast clouds,-7.1026,107.7641,Dulardul
582,Tungawan,PH,77.65,overcast clouds,7.5081,122.3711,
586,Bandarbeyla,SO,75.38,scattered clouds,9.4942,50.8122,JABIR HOTEL
588,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
589,Harper,LR,81.72,overcast clouds,4.375,-7.7169,Screensaver
590,Innisfail,AU,71.47,clear sky,-17.5333,146.0333,Moondarra Motel
595,Makakilo City,US,73.29,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
598,Daura,NG,76.6,few clouds,11.5538,11.4085,
600,Osmena,PH,80.01,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
601,Puro,PH,76.05,scattered clouds,12.4841,123.3827,
602,Eyl,SO,74.77,clear sky,7.9803,49.8164,Amiin Hotel
604,Voh,NC,79.03,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
608,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
609,Aripuana,BR,82.24,overcast clouds,-9.1667,-60.6333,
614,Atambua,ID,74.88,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
615,Djibo,BF,84.74,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
616,Thinadhoo,MV,82.45,broken clouds,0.5333,72.9333,
617,Montevideo,UY,77.02,scattered clouds,-34.8335,-56.1674,KOLPING Hotel
619,Butterworth,MY,80.64,few clouds,5.3991,100.3638,Cititel Penang
621,Bambanglipuro,ID,77.81,heavy intensity rain,-7.95,110.2833,Puri Brata
